Study Ref;Taxon;Effect size (day/degree increase);Precision (SE);Sample size (Years);Sample Size (Sites);SamplesTotal;(Country);Moderator 3 (phenological measure);Moderator 4 (Analysis type);(Years);p-value;Moderator(Latitude);Moderator(Years);Moderator(Voltinism)
47;Satyrus actaea;12.92;6.98;;8;8;Spain;Appearance Mean First;Temporal+Spatial;2005-2018;;40.5;13;Univoltine
47;Speyeria aglaja;-6.42;4.66;;14;14;Spain;Appearance Mean First;Temporal+Spatial;2005-2018;;40.5;13;Univoltine
47;Thymelicus sylvestris;-6.41;0.44;;11;11;Spain;Appearance Mean First;Temporal+Spatial;2005-2018;;40.5;13;Univoltine
48;Pyrgus malvae;1.15;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;;40.5;13;Multivoltine
48;Erynnis tages;−10.32;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;0.05;;;
48;Carterocephalus silvicola;−8.17;;19;;19;Sweden;Appearance Mean First;Temporal;1991-2010;0.05;;;
48;Thymelicus lineola;−5.00;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;0.05;;;
48;Hesperia comma;−2.92;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;;;;
48;Ochlodes sylvanus;−3.92;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;0.05;;;
48;Papilio machaon;−5.84;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;0.05;;;
48;Aporia crataegi;−2.79;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;;;;
48;Pieris napi;−3.73;;19;;19;Sweden;Appearance Mean First;Temporal;1991-2010;0.05;;;
48;Pieris rapae;−3.92;;16;;16;Sweden;Appearance Mean First;Temporal;1991-2010;0.05;;;
48;Pieris brassicae;−2.61;;19;;19;Sweden;Appearance Mean First;Temporal;1991-2010;0.05;;;
48;Anthocharis cardamines;−6.35;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;0.05;;;
48;Gonepteryx rhamni;−2.41;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;;;;
48;Colias palaeno;−3.22;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;;;;
48;Cupido minimus;−3.89;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;;;;
48;Glaucopsyche alexis;−7.21;;15;;15;Sweden;Appearance Mean First;Temporal;1991-2010;0.05;;;
48;Polymmatus semiargus;−4.53;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;0.05;;;
48;Polymmatus amandus;−3.57;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;0.05;;;
48;Polymmatus icarus;−5.33;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;0.05;;;
48;Maculinea arion;−2.21;;19;;19;Sweden;Appearance Mean First;Temporal;1991-2010;;;;
48;Celastrina argiolus;−4.33;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;0.05;;;
48;Plebejus argus;−3.48;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;;;;
48;Plebejus idas;−2.91;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;0.05;;;
48;Plebejus optilete;−5.69;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;0.05;;;
48;Aricia artaxerxes;−1.97;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;;;;
48;Aricia eumedon;−3.04;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;;;;
48;Lycaena phlaeas;−5.3;;19;;19;Sweden;Appearance Mean First;Temporal;1991-2010;0.05;;;
48;Lycaena virgaureae;−3.86;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;0.05;;;
48;Lycaena hippothoe;−6.98;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;0.05;;;
48;Callophrys rubi;−3.78;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;0.05;;;
48;Favonius quercus;−2.77;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;;;;
